Model                                        Precision  Chipset  Backend  SOC
-----                                        ---------  -------  -------  -------
Cosmos-Reason2-8B                            W4A16      qcs8550  QNN2.48  Qualcomm QCS8550
Mage-VL                                      W4A16      qcs8550  QNN2.48  Qualcomm QCS8550
Qwen3-VL-8B-Instruct                         W4A16      qcs8550  QNN2.48  Qualcomm QCS8550
Gemma-4-E2B-it (text-only)                   W4A16      qcs8550  QNN2.48  Qualcomm QCS8550
MiniCPM-RobotTrack                           W8A16      qcs8550  QNN2.48  Qualcomm QCS8550
Hy-MT2-1.8B                                  W4A16      qcs8550  QNN2.48  Qualcomm QCS8550
GR00T-1.5                                    FP16       qcs8550  QNN2.46  Qualcomm QCS8550
GR00T-1.5                                    W8A16      qcs8550  QNN2.46  Qualcomm QCS8550
LocateAnything-3B-MTP (504x336)              W4A16      qcs8550  QNN2.40  Qualcomm QCS8550
PP-OCRv6-Medium                              FP16       qcs8550  QNN2.40  Qualcomm QCS8550
MiniCPM5-1B                                  W4A16      qcs8550  QNN2.36  Qualcomm QCS8550
Qwen3-4B-Instruct-2507                       W4A16      qcs8550  QNN2.36  Qualcomm QCS8550
BEVFormer-tiny (R50)                         FP16       qcs8550  QNN2.40  Qualcomm QCS8550
π₀.₅                                         FP16       qcs8550  QNN2.48  Qualcomm QCS8550
π₀.₅                                         W8A16      qcs8550  QNN2.48  Qualcomm QCS8550
Qwen3-VL-4B-Instruct (448x448)               W4A16      qcs8550  QNN2.40  Qualcomm QCS8550
YOLO11s-obb                                  FP16       qcs8550  QNN2.36  Qualcomm QCS8550
YOLO11s-obb                                  INT8       qcs8550  QNN2.36  Qualcomm QCS8550
YOLO11s-obb                                  W8A16      qcs8550  QNN2.36  Qualcomm QCS8550
YOLOv8s-worldv2                              FP16       qcs8550  QNN2.36  Qualcomm QCS8550
YOLOv8s-worldv2                              INT8       qcs8550  QNN2.36  Qualcomm QCS8550
YOLOv8s-worldv2                              W8A16      qcs8550  QNN2.36  Qualcomm QCS8550
ACT/AlohaInsertion                           FP16       qcs8550  QNN2.36  Qualcomm QCS8550
AlexNet                                      FP16       qcs8550  QNN2.36  Qualcomm QCS8550
AlexNet                                      INT8       qcs8550  QNN2.36  Qualcomm QCS8550
AOT-GAN                                      INT8       qcs8550  QNN2.31  Qualcomm QCS8550
AOT-GAN                                      W8A16      qcs8550  QNN2.31  Qualcomm QCS8550
AOT-GAN                                      FP16       qcs8550  QNN2.31  Qualcomm QCS8550
Beit                                         FP16       qcs8550  QNN2.36  Qualcomm QCS8550
Beit                                         W8A16      qcs8550  QNN2.36  Qualcomm QCS8550
BEVFusion                                    FP16       qcs8550  QNN2.40  Qualcomm QCS8550
bge-large-en-v1.5                            W4A16      qcs8550  QNN2.36  Qualcomm QCS8550
bge-large-zh-v1.5                            W8A16      qcs8550  QNN2.36  Qualcomm QCS8550
CLIPSeg                                      W8A16      qcs8550  QNN2.31  Qualcomm QCS8550
